WHO,LONG,SHORT,DATE
Client,245808,128120,2026-03-09
DII,81908,34106,2026-03-09
FII,31806,225708,2026-03-09
Pro,79230,50818,2026-03-09
Client,248732,130286,2026-03-10
DII,80934,34817,2026-03-10
FII,31946,219016,2026-03-10
Pro,73101,50594,2026-03-10
FII,31623,237924,2026-03-11
Pro,78698,55258,2026-03-11
DII,81146,29432,2026-03-11
Client,267685,136538,2026-03-11
Client,274224,134777,2026-03-12
Pro,78869,47255,2026-03-12
FII,30464,256791,2026-03-12
DII,80026,24760,2026-03-12
Client,293089,136811,2026-03-13
FII,32283,292823,2026-03-13
Pro,96307,52457,2026-03-13
DII,80404,19992,2026-03-13
FII,38494,287263,2026-03-16
Client,280165,137332,2026-03-16
Pro,80352,37724,2026-03-16
DII,79390,16082,2026-03-16
Client,273573,137641,2026-03-17
Pro,81699,35916,2026-03-17
FII,40496,281271,2026-03-17
DII,76102,17042,2026-03-17
DII,73483,19146,2026-03-18
Pro,81448,39258,2026-03-18
Client,268491,139221,2026-03-18
FII,44432,270229,2026-03-18
FII,45130,274082,2026-03-19
Pro,71452,45510,2026-03-19
DII,71894,20180,2026-03-19
Client,282640,131344,2026-03-19
FII,47246,281754,2026-03-20
Pro,81993,45082,2026-03-20
DII,71121,21470,2026-03-20
Client,280172,132226,2026-03-20
FII,51014,294975,2026-03-23
Client,284282,134482,2026-03-23
Pro,81637,49288,2026-03-23
DII,79197,17385,2026-03-23
Pro,84250,49958,2026-03-24
FII,47426,296138,2026-03-24
Client,275559,127032,2026-03-24
DII,82328,16435,2026-03-24
Client,262795,128034,2026-03-25
Pro,85164,49334,2026-03-25
DII,86065,18530,2026-03-25
FII,48853,286979,2026-03-25
Pro,91005,48525,2026-03-27
FII,61970,341437,2026-03-27
Client,287333,121797,2026-03-27
DII,87554,16103,2026-03-27
Pro,53803,44341,2026-03-30
FII,57265,321311,2026-03-30
Client,285908,105165,2026-03-30
DII,87937,14096,2026-03-30
Pro,51666,40232,2026-04-01
DII,90198,16064,2026-04-01
Client,262912,83659,2026-04-01
FII,63475,328296,2026-04-01
Pro,53697,40020,2026-04-02
Client,267437,89885,2026-04-02
FII,68058,336078,2026-04-02
DII,95737,18946,2026-04-02
DII,95606,19851,2026-04-06
FII,72568,341030,2026-04-06
Client,266704,88614,2026-04-06
Pro,54259,39642,2026-04-06
Client,259127,90686,2026-04-07
DII,93469,26551,2026-04-07
Pro,62931,38855,2026-04-07
FII,75768,335203,2026-04-07
Client,229041,77876,2026-04-08
FII,82405,309805,2026-04-08
DII,95118,28926,2026-04-08
Pro,53167,43124,2026-04-08
FII,79006,306724,2026-04-09
DII,94629,28948,2026-04-09
Client,237159,74395,2026-04-09
Pro,45569,46296,2026-04-09
FII,81432,287659,2026-04-10
DII,91810,28878,2026-04-10
Pro,45424,45333,2026-04-10
Client,219017,75813,2026-04-10
Pro,49127,45510,2026-04-13
Client,218196,76874,2026-04-13
FII,80652,289006,2026-04-13
DII,92448,29033,2026-04-13
FII,73089,273807,2026-04-15
Pro,50867,53426,2026-04-15
DII,95189,29419,2026-04-15
Client,215741,78234,2026-04-15
Pro,46659,53003,2026-04-16
DII,93025,29778,2026-04-16
FII,68391,267380,2026-04-16
Client,222376,80290,2026-04-16
FII,68019,258972,2026-04-17
Client,214400,82681,2026-04-17
Pro,51500,53628,2026-04-17
DII,91130,29768,2026-04-17
DII,86243,29768,2026-04-20
Client,208548,78333,2026-04-20
Pro,51620,48549,2026-04-20
FII,67105,256866,2026-04-20
Pro,55906,47455,2026-04-21
Client,192664,86488,2026-04-21
DII,88809,29488,2026-04-21
FII,72108,246056,2026-04-21
FII,70406,253720,2026-04-22
Pro,51253,51031,2026-04-22
DII,88591,29638,2026-04-22
Client,205111,80972,2026-04-22
FII,68000,258914,2026-04-23
Client,208638,81896,2026-04-23
DII,85098,29980,2026-04-23
Pro,54714,45660,2026-04-23
FII,64025,268104,2026-04-24
Pro,60769,47492,2026-04-24
DII,82381,29436,2026-04-24
Client,223706,85849,2026-04-24
FII,65665,271646,2026-04-27
Pro,73293,49399,2026-04-27
Client,217515,87270,2026-04-27
DII,81382,29540,2026-04-27
FII,30223,200901,2026-04-28
DII,74324,29166,2026-04-28
Pro,27492,26530,2026-04-28
Client,197800,73242,2026-04-28
DII,74581,29139,2026-04-29
FII,28830,199888,2026-04-29
Client,193687,76125,2026-04-29
Pro,33914,25860,2026-04-29
FII,27506,211982,2026-04-30
DII,75170,36763,2026-04-30
Client,205791,75633,2026-04-30
Pro,42884,26973,2026-04-30
Client,215911,77389,2026-05-04
FII,29308,221880,2026-05-04
DII,75321,36713,2026-05-04
Pro,44266,28824,2026-05-04
FII,29599,227732,2026-05-05
DII,75336,39983,2026-05-05
Pro,49510,28434,2026-05-05
Client,222279,80575,2026-05-05
Client,213726,83406,2026-05-06
DII,75394,39401,2026-05-06
Pro,60759,32477,2026-05-06
FII,35750,230345,2026-05-06
Client,223840,83695,2026-05-07
Pro,58117,39454,2026-05-07
FII,37177,233125,2026-05-07
DII,75341,38201,2026-05-07
DII,74899,35553,2026-05-08
Pro,59076,38219,2026-05-08
FII,34616,244728,2026-05-08
Client,236329,86420,2026-05-08
Pro,65601,39811,2026-05-11
DII,73012,35093,2026-05-11
FII,33374,254343,2026-05-11
Client,248266,91006,2026-05-11
Client,274236,95887,2026-05-12
Pro,70453,47476,2026-05-12
DII,70954,35136,2026-05-12
FII,33763,270907,2026-05-12
DII,71019,35036,2026-05-13
Client,272041,98222,2026-05-13
FII,32871,270745,2026-05-13
Pro,72735,44663,2026-05-13
DII,71227,39036,2026-05-14
FII,35074,260685,2026-05-14
Pro,69430,41508,2026-05-14
Client,261431,95933,2026-05-14
Client,259336,100614,2026-05-15
Pro,67970,42159,2026-05-15
DII,71251,39277,2026-05-15
FII,35826,252333,2026-05-15
Client,251393,101045,2026-05-18
Pro,70978,39387,2026-05-18
FII,34922,244788,2026-05-18
DII,67164,39237,2026-05-18
Client,254202,98421,2026-05-19
DII,67196,37737,2026-05-19
FII,35238,251518,2026-05-19
Pro,70724,39684,2026-05-19
FII,35093,257613,2026-05-20
DII,67455,37712,2026-05-20
Client,255741,97717,2026-05-20
Pro,72341,37588,2026-05-20
Client,261355,98212,2026-05-21
DII,67316,37772,2026-05-21
Pro,81514,43011,2026-05-21
FII,35690,266880,2026-05-21
Pro,82231,48970,2026-05-22
Client,254325,92661,2026-05-22
FII,43530,268522,2026-05-22
DII,67686,37619,2026-05-22
DII,70495,37982,2026-05-25
Pro,88702,48270,2026-05-25
FII,51190,266167,2026-05-25
Client,236960,94928,2026-05-25
FII,38261,191126,2026-05-26
Pro,23038,29358,2026-05-26
DII,74983,35781,2026-05-26
Client,203646,83663,2026-05-26
Client,215846,78846,2026-05-27
Pro,23635,32447,2026-05-27
DII,70785,35961,2026-05-27
FII,38864,201876,2026-05-27
FII,31724,233033,2026-05-29
DII,73902,36223,2026-05-29
Pro,45121,34923,2026-05-29
Client,242451,89019,2026-05-29
Client,260863,88077,2026-06-01
DII,69661,34473,2026-06-01
Pro,51681,36475,2026-06-01
FII,26822,250002,2026-06-01
FII,24538,254634,2026-06-02
Client,269410,82885,2026-06-02
DII,65965,33084,2026-06-02
Pro,45586,34896,2026-06-02
DII,66156,29722,2026-06-03
FII,25951,285204,2026-06-03
Pro,62276,35542,2026-06-03
Client,277894,81809,2026-06-03
DII,66500,29722,2026-06-04
FII,28171,292739,2026-06-04
Pro,64404,40283,2026-06-04
Client,283258,79589,2026-06-04
DII,66330,28937,2026-06-05
Pro,62649,40784,2026-06-05
Client,286458,78010,2026-06-05
FII,25958,293664,2026-06-05
DII,64282,20337,2026-06-08
Pro,63140,40498,2026-06-08
Client,291791,80764,2026-06-08
FII,24810,302424,2026-06-08
Client,282229,77643,2026-06-09
FII,31170,308171,2026-06-09
DII,65697,15637,2026-06-09
Pro,62075,39720,2026-06-09
Pro,58510,46483,2026-06-10
Client,277954,71591,2026-06-10
FII,32698,304677,2026-06-10
DII,68620,15031,2026-06-10
DII,68407,12331,2026-06-11
FII,34564,301547,2026-06-11
Client,274729,74884,2026-06-11
Pro,56371,45309,2026-06-11
Client,258005,77605,2026-06-12
FII,39971,283594,2026-06-12
Pro,56144,54730,2026-06-12
DII,75317,13508,2026-06-12
DII,82961,8989,2026-06-15
FII,41074,282315,2026-06-15
Pro,49496,53408,2026-06-15
Client,248989,77808,2026-06-15
Pro,49918,51065,2026-06-16
FII,39125,268725,2026-06-16
DII,81423,13589,2026-06-16
Client,239851,76938,2026-06-16
Pro,49466,49366,2026-06-17
Client,232345,75417,2026-06-17
FII,39837,264525,2026-06-17
DII,81249,13589,2026-06-17
FII,40846,262322,2026-06-18
Client,229204,73795,2026-06-18
DII,83186,13589,2026-06-18
Pro,47949,51479,2026-06-18
FII,39587,266010,2026-06-19
Pro,46731,55104,2026-06-19
DII,84100,11589,2026-06-19
Client,238409,76124,2026-06-19
Pro,50641,49448,2026-06-22
FII,39777,262561,2026-06-22
DII,79200,11631,2026-06-22
Client,228174,74152,2026-06-22
Client,242243,78805,2026-06-23
DII,78979,11725,2026-06-23
FII,40727,269288,2026-06-23
Pro,48501,50632,2026-06-23
Client,235429,81280,2026-06-24
Pro,56066,47625,2026-06-24
FII,46870,275923,2026-06-24
DII,78988,12525,2026-06-24
Client,231872,80830,2026-06-25
Pro,54221,50841,2026-06-25
FII,51212,275021,2026-06-25
DII,81983,12596,2026-06-25
DII,82029,11796,2026-06-29
FII,60489,294940,2026-06-29
Pro,49806,52934,2026-06-29
Client,244810,77464,2026-06-29
Client,247940,61833,2026-06-30
Pro,39762,30340,2026-06-30
DII,72667,11786,2026-06-30
FII,33502,289912,2026-06-30
Client,251066,63543,2026-07-01
FII,32476,292535,2026-07-01
Pro,40082,28435,2026-07-01
DII,72675,11786,2026-07-01
Client,243441,65455,2026-07-02
FII,29443,286343,2026-07-02
Pro,40808,26490,2026-07-02
DII,76185,11589,2026-07-02
Client,239868,67171,2026-07-03
Pro,44875,31379,2026-07-03
DII,76163,11589,2026-07-03
FII,29772,280539,2026-07-03
FII,32686,273965,2026-07-06
DII,77668,11572,2026-07-06
Pro,42645,32094,2026-07-06
Client,232341,67709,2026-07-06
Client,228252,64093,2026-07-07
Pro,38805,33370,2026-07-07
FII,32710,271548,2026-07-07
DII,80816,11572,2026-07-07
Pro,46256,36055,2026-07-08
DII,79832,8602,2026-07-08
Client,245471,58316,2026-07-08
FII,30225,298811,2026-07-08
DII,78283,8602,2026-07-09
Pro,50489,33535,2026-07-09
FII,31455,297706,2026-07-09
Client,238476,58860,2026-07-09
Pro,51172,33516,2026-07-10
FII,34427,289138,2026-07-10
DII,78304,10880,2026-07-10
Client,230182,60551,2026-07-10
Pro,50458,29509,2026-07-13
Client,228874,62043,2026-07-13
FII,32009,287122,2026-07-13
DII,78213,10880,2026-07-13
Client,236786,57754,2026-07-14
Pro,48801,27781,2026-07-14
FII,26671,292136,2026-07-14
DII,76373,10960,2026-07-14
FII,26357,289069,2026-07-15
Pro,52300,27930,2026-07-15
DII,76670,10920,2026-07-15
Client,230456,57864,2026-07-15
Pro,46950,29598,2026-07-16
DII,74619,10920,2026-07-16
FII,25419,275305,2026-07-16
Client,228686,59851,2026-07-16
Pro,40283,28880,2026-07-17
DII,74763,15604,2026-07-17
FII,30554,247082,2026-07-17
Client,219094,73128,2026-07-17
DII,74318,15512,2026-07-20
FII,25335,245158,2026-07-20
Client,215325,65941,2026-07-20
Pro,46089,34456,2026-07-20
